	5	10	15	20	25	30	35	40	45	50
-20   	-34.0 	-40.72 	-45.01 	-48.23 	-50.83 	-53.03 	-54.93 	-56.62 	-58.14 	-59.53 	

-10   	-22.26 	-28.33 	-32.21 	-35.11 	-37.46 	-39.45 	-41.17 	-42.7 	-44.07 	-45.32 	

0   	-10.51 	-15.93 	-19.4 	-22.0 	-24.09 	-25.86 	-27.4 	-28.77 	-29.99 	-31.11 	

10   	1.24 	-3.54 	-6.59 	-8.88 	-10.72 	-12.28 	-13.64 	-14.84 	-15.92 	-16.9 	

20   	12.98 	8.85 	6.22 	4.24 	2.65 	1.3 	0.13 	-0.91 	-1.84 	-2.69 	

30   	24.73 	21.25 	19.03 	17.36 	16.02 	14.88 	13.89 	13.02 	12.23 	11.52 	

40   	36.47 	33.64 	31.84 	30.48 	29.39 	28.46 	27.66 	26.95 	26.31 	25.73 	

50   	48.22 	46.04 	44.64 	43.6 	42.76 	42.04 	41.43 	40.88 	40.38 	39.93 	

60   	59.96 	58.43 	57.45 	56.72 	56.13 	55.63 	55.19 	54.81 	54.46 	54.14 	

70   	71.71 	70.83 	70.26 	69.84 	69.5 	69.21 	68.96 	68.73 	68.53 	68.35 	

80   	83.45 	83.22 	83.07 	82.96 	82.87 	82.79 	82.72 	82.66 	82.61 	82.56 	
